id,numTel,etat,type de carte,Date d'activation,date d'expiration,date inscription,user,uptime,location,status
1,+33482958668,active,prepaid,2023-12-18,2024-12-17,2023-11-27,vrobin,379h,Fès,online
2,+33236833431,active,prepaid,2024-09-06,2025-09-06,2024-08-29,pbouvier,346h,Rabat,offline
3,0437317831,active,prepaid,2024-02-13,2025-02-12,2024-02-11,eraynaud,111h,Tanger,online
4,+33174909162,active,postpaid,2024-11-27,2025-11-27,2024-11-09,faivrepatricia,112h,Kenitra,offline
5,0387284218,active,prepaid,2024-04-09,2025-04-09,2024-03-14,glebon,357h,Oujda,offline
6,0160555684,active,prepaid,2023-12-22,2024-12-21,2023-12-13,hguilbert,490h,Agadir,online
7,+33279136889,inactive,prepaid,2023-06-10,2024-06-09,2023-06-07,pottierpaul,183h,Agadir,offline
8,0563312891,active,postpaid,2025-03-27,2026-03-27,2025-03-01,alfred32,274h,Rabat,offline
9,0361034821,suspended,postpaid,2023-05-23,2024-05-22,2023-05-20,veroniquedescamps,424h,Agadir,online
10,0228847885,active,prepaid,2023-05-03,2024-05-02,2023-04-10,leblancrenee,338h,Tanger,offline
11,0328626298,active,prepaid,2025-01-07,2026-01-07,2025-01-04,anais29,194h,Fès,offline
12,0320416666,inactive,prepaid,2023-08-16,2024-08-15,2023-07-26,alexandriealves,189h,Agadir,online
13,+33(0)493183842,inactive,prepaid,2025-03-07,2026-03-07,2025-02-13,gilbertfrancois,311h,Marrakech,online
14,+33(0)751986440,inactive,postpaid,2024-07-11,2025-07-11,2024-07-05,sebastien48,138h,Tanger,offline
15,+33(0)254660628,active,prepaid,2024-12-09,2025-12-09,2024-11-12,genevieve07,420h,Casablanca,offline
16,+33389754659,inactive,prepaid,2023-07-18,2024-07-17,2023-07-05,margaud33,108h,Agadir,online
17,+33(0)610327343,inactive,postpaid,2024-09-19,2025-09-19,2024-08-29,qcollet,452h,Kenitra,online
18,0245226147,active,prepaid,2023-08-21,2024-08-20,2023-08-12,margot72,381h,Fès,offline
19,+33420053542,suspended,postpaid,2023-04-19,2024-04-18,2023-03-21,macecorinne,185h,Tanger,online
20,0339082292,inactive,prepaid,2024-03-20,2025-03-20,2024-03-03,michellemallet,386h,Casablanca,online
21,+33(0)638523465,suspended,prepaid,2024-08-12,2025-08-12,2024-08-07,imbertlucie,405h,Oujda,online
22,0531069404,inactive,postpaid,2025-03-19,2026-03-19,2025-03-06,cordierjacques,270h,Fès,online
23,0420922963,suspended,prepaid,2025-02-18,2026-02-18,2025-01-27,theodore88,349h,Fès,offline
24,+33555860064,inactive,postpaid,2023-10-10,2024-10-09,2023-10-06,marinebernard,80h,Kenitra,online
25,+33487566169,suspended,postpaid,2023-07-24,2024-07-23,2023-06-30,dupuislaurence,497h,Marrakech,online
26,0779034007,suspended,postpaid,2025-04-16,2026-04-16,2025-03-19,lucy60,430h,Tanger,online
27,0482521187,active,prepaid,2024-10-01,2025-10-01,2024-09-19,priou,306h,Agadir,offline
28,0356945089,active,postpaid,2023-10-29,2024-10-28,2023-10-28,michel84,449h,Fès,online
29,+33(0)563151842,active,prepaid,2023-09-10,2024-09-09,2023-09-08,francoisvictoire,43h,Kenitra,online
30,+33(0)581095370,suspended,prepaid,2023-07-17,2024-07-16,2023-06-22,duponthortense,65h,Kenitra,online
31,0371633083,suspended,postpaid,2024-09-24,2025-09-24,2024-09-15,theophile80,493h,Tanger,online
32,+33253557107,inactive,postpaid,2025-03-28,2026-03-28,2025-03-05,germainaurelie,343h,Agadir,offline
33,+33(0)339012214,suspended,postpaid,2023-08-14,2024-08-13,2023-07-16,mbegue,61h,Tanger,online
34,+33518158197,inactive,prepaid,2024-08-21,2025-08-21,2024-08-18,etiennedenis,301h,Tanger,online
35,+33(0)487517649,active,prepaid,2024-03-09,2025-03-09,2024-03-08,remyhuet,117h,Rabat,online
36,0516571384,inactive,prepaid,2023-12-18,2024-12-17,2023-11-20,xpaul,263h,Tanger,offline
37,+33371677376,inactive,prepaid,2024-10-10,2025-10-10,2024-09-18,elodieleger,276h,Marrakech,offline
38,+33(0)492836743,inactive,postpaid,2025-02-18,2026-02-18,2025-02-10,philippine73,97h,Rabat,online
39,+33219878077,inactive,postpaid,2023-07-20,2024-07-19,2023-06-28,eugenebonneau,216h,Oujda,offline
40,+33(0)219709798,suspended,prepaid,2025-03-07,2026-03-07,2025-02-07,boulaysuzanne,344h,Rabat,online
